datetime,agent_type,pid,transaction_id,execution_time,source_file,line_number,date,hour,minute,is_slow,is_very_slow,is_critical
2025-11-06 22:23:58.884,eta_agent,7864,11017739585653,60.411,time6.txt,73398,2025-11-06,22,23,True,True,True
2025-11-06 22:24:00.947,eta_agent,7761,11017739576743,75.403,time6.txt,19977,2025-11-06,22,24,True,True,True
2025-11-06 22:24:21.969,eta_agent,8109,11017739576806,81.274,time6.txt,123647,2025-11-06,22,24,True,True,True
2025-11-06 22:24:52.827,eta_agent,7765,11017739585841,89.06,time6.txt,28774,2025-11-06,22,24,True,True,True
2025-11-06 22:24:52.949,eta_agent,7844,11017739585845,89.087,time6.txt,57741,2025-11-06,22,24,True,True,True
2025-11-06 22:24:55.086,eta_agent,7985,11017739585842,91.333,time6.txt,93171,2025-11-06,22,24,True,True,True
2025-11-06 22:24:56.168,eta_agent,7850,11017739580373,78.871,time6.txt,59961,2025-11-06,22,24,True,True,True
2025-11-06 22:25:01.631,eta_agent,7852,11017739585836,97.909,time6.txt,64432,2025-11-06,22,25,True,True,True
2025-11-06 22:25:04.542,eta_agent,8098,11017739576935,92.686,time6.txt,119259,2025-11-06,22,25,True,True,True
2025-11-06 22:25:06.621,eta_agent,7692,11017739576896,102.766,time6.txt,6581,2025-11-06,22,25,True,True,True
2025-11-06 22:25:06.828,eta_agent,8097,11017739576894,103.067,time6.txt,117106,2025-11-06,22,25,True,True,True
2025-11-06 22:25:17.486,eta_agent,7766,11017739585838,113.754,time6.txt,31025,2025-11-06,22,25,True,True,True
2025-11-06 22:25:19.082,eta_agent,7865,11017739585840,115.341,time6.txt,75621,2025-11-06,22,25,True,True,True
2025-11-06 22:25:27.583,eta_agent,7860,11017739576934,115.895,time6.txt,69043,2025-11-06,22,25,True,True,True
2025-11-06 22:25:37.164,eta_agent,8144,11017739573968,67.624,time6.txt,130264,2025-11-06,22,25,True,True,True
2025-11-06 22:25:37.344,eta_agent,7964,11017739573871,86.422,time6.txt,84552,2025-11-06,22,25,True,True,True
2025-11-06 22:25:37.871,eta_agent,7861,11017739577143,71.844,time6.txt,71277,2025-11-06,22,25,True,True,True
2025-11-06 22:27:58.340,eta_agent,7767,11017739587398,61.379,time6.txt,33283,2025-11-06,22,27,True,True,True
2025-11-06 22:29:22.406,eta_agent,7851,11017739590187,60.853,time6.txt,62196,2025-11-06,22,29,True,True,True
2025-11-06 22:32:56.727,eta_agent,8079,11017739581890,70.104,time6.txt,106183,2025-11-06,22,32,True,True,True
2025-11-06 22:33:33.731,eta_agent,7769,11017739578988,63.399,time6.txt,37832,2025-11-06,22,33,True,True,True
2025-11-06 22:34:31.002,eta_agent,7976,11017739595168,63.072,time6.txt,86691,2025-11-06,22,34,True,True,True
2025-11-06 22:34:38.911,eta_agent,8099,11017739595163,71.232,time6.txt,121479,2025-11-06,22,34,True,True,True
2025-11-06 22:34:44.198,eta_agent,7763,11017739582204,76.502,time6.txt,24510,2025-11-06,22,34,True,True,True
2025-11-06 22:34:46.371,eta_agent,7765,11017739582206,78.441,time6.txt,28788,2025-11-06,22,34,True,True,True
2025-11-06 22:34:49.595,eta_agent,7962,11017739595164,81.901,time6.txt,80094,2025-11-06,22,34,True,True,True
2025-11-06 22:36:01.781,eta_agent,8093,11017739579630,62.659,time6.txt,114878,2025-11-06,22,36,True,True,True
2025-11-06 22:38:32.710,eta_agent,7844,11017739582952,80.834,time6.txt,57762,2025-11-06,22,38,True,True,True
2025-11-06 22:38:32.983,eta_agent,7851,11017739596941,68.991,time6.txt,62210,2025-11-06,22,38,True,True,True
2025-11-06 22:43:35.872,eta_agent,7785,11017739599316,65.807,time6.txt,48817,2025-11-06,22,43,True,True,True
2025-11-06 22:43:42.027,eta_agent,8084,11017739599319,71.946,time6.txt,108318,2025-11-06,22,43,True,True,True
2025-11-06 22:44:01.124,eta_agent,7769,11017739601594,68.041,time6.txt,37848,2025-11-06,22,44,True,True,True
2025-11-06 22:44:46.043,eta_agent,7977,11017739599930,63.261,time6.txt,88741,2025-11-06,22,44,True,True,True
2025-11-06 22:45:39.960,eta_agent,8023,11017739610274,70.0,time6.txt,95430,2025-11-06,22,45,True,True,True
2025-11-06 22:46:56.995,eta_agent,8023,11017739610907,67.609,time6.txt,95431,2025-11-06,22,46,True,True,True
2025-11-06 22:47:08.050,eta_agent,7761,11017739584798,64.592,time6.txt,20011,2025-11-06,22,47,True,True,True
2025-11-06 22:47:13.223,eta_agent,7765,11017739606119,69.735,time6.txt,28802,2025-11-06,22,47,True,True,True
