datetime,agent_type,pid,transaction_id,execution_time,in_window
2025-11-06 14:11:30.472,eta_agent,8079,11017738838699,119.153,False
2025-11-06 14:11:30.345,eta_agent,7695,11017738838700,118.847,False
2025-11-06 14:11:48.334,eta_agent,7861,11017738845216,116.82,False
2025-11-06 14:10:00.965,eta_agent,7985,11017738837744,116.548,False
2025-11-06 14:10:09.804,eta_agent,8023,11017738837829,116.202,False
2025-11-06 22:18:33.653,eta_agent,7844,11017739567853,111.335,False
2025-11-06 14:11:53.472,eta_agent,8097,11017738840609,109.637,False
2025-11-06 14:09:03.299,eta_agent,7692,11017738837247,104.919,False
2025-11-06 22:16:51.930,eta_agent,8144,11017739567163,101.467,False
2025-11-06 22:16:51.861,eta_agent,7763,11017739570903,101.445,False
2025-11-06 22:16:50.974,eta_agent,8025,11017739570902,100.56,False
2025-11-06 22:16:13.654,eta_agent,7961,11017739566904,98.679,False
2025-11-06 22:16:48.857,eta_agent,8098,11017739570900,98.476,False
2025-11-06 22:16:48.204,eta_agent,8084,11017739570907,97.779,False
2025-11-06 22:17:52.292,eta_agent,7765,11017739571263,97.56,False
2025-11-06 22:17:10.477,eta_agent,7860,11017739575029,96.092,False
2025-11-06 22:16:46.321,eta_agent,7851,11017739570904,95.94,False
2025-11-07 00:04:38.432,eta_agent,7764,11017739713079,94.825,False
2025-11-06 14:10:34.466,eta_agent,8087,11017738824896,93.538,False
2025-11-06 22:18:14.373,eta_agent,7793,11017739567841,93.512,False
2025-11-06 14:11:17.363,eta_agent,7773,11017738838837,93.439,False
2025-11-06 22:16:43.698,eta_agent,7693,11017739570906,93.284,False
2025-11-06 22:16:43.306,eta_agent,8093,11017739567164,92.834,False
2025-11-06 22:16:42.907,eta_agent,7695,11017739567161,92.47,False
2025-11-07 00:08:30.616,eta_agent,7695,11017739715152,92.071,False
2025-11-07 00:07:54.512,eta_agent,8079,11017739714817,91.945,False
2025-11-06 22:10:22.331,eta_agent,8079,11017739558865,91.075,False
2025-11-07 00:04:53.681,eta_agent,7785,11017739713235,90.879,False
2025-11-06 14:15:04.911,eta_agent,7793,11017738834903,89.774,False
2025-11-07 00:02:06.944,eta_agent,7764,11017739701676,89.643,False
2025-11-06 22:19:01.424,eta_agent,7695,11017739571677,89.109,False
2025-11-06 22:14:57.402,eta_agent,8084,11017739549519,88.746,False
