datetime,agent_type,pid,transaction_id,execution_time,in_window
2025-11-06 22:25:27.583,eta_agent,7860,11017739576934,115.895,True
2025-11-06 22:25:19.082,eta_agent,7865,11017739585840,115.341,True
2025-11-06 22:25:17.486,eta_agent,7766,11017739585838,113.754,True
2025-11-06 23:04:43.702,eta_agent,8087,11017739623549,104.868,True
2025-11-06 22:25:06.828,eta_agent,8097,11017739576894,103.067,True
2025-11-06 22:25:06.621,eta_agent,7692,11017739576896,102.766,True
2025-11-06 22:25:01.631,eta_agent,7852,11017739585836,97.909,True
2025-11-06 23:04:35.941,eta_agent,7850,11017739623556,97.034,True
2025-11-06 23:04:35.645,eta_agent,7773,11017739631662,96.786,True
2025-11-06 23:04:35.569,eta_agent,7693,11017739631661,96.697,True
2025-11-06 23:04:35.171,eta_agent,8084,11017739618129,96.265,True
2025-11-06 22:25:04.542,eta_agent,8098,11017739576935,92.686,True
2025-11-06 22:24:55.086,eta_agent,7985,11017739585842,91.333,True
2025-11-06 22:55:00.779,eta_agent,8097,11017739604187,89.837,True
2025-11-06 22:24:52.949,eta_agent,7844,11017739585845,89.087,True
2025-11-06 22:24:52.827,eta_agent,7765,11017739585841,89.06,True
2025-11-06 23:07:56.563,eta_agent,7964,11017739632893,88.992,True
2025-11-06 23:04:44.339,eta_agent,7844,11017739626506,88.758,True
