datetime,agent_type,pid,transaction_id,execution_time,source_file,line_number,date,hour,minute,is_slow,is_very_slow,is_critical
2025-11-06 22:23:57.915,eta_agent,7760,11017739573676,23.147,time6.txt,17747,2025-11-06,22,23,True,False,False
2025-11-06 22:23:58.630,eta_agent,7773,11017739585929,23.155,time6.txt,46575,2025-11-06,22,23,True,False,False
2025-11-06 22:23:58.884,eta_agent,7864,11017739585653,60.411,time6.txt,73398,2025-11-06,22,23,True,True,True
2025-11-06 22:23:59.198,eta_agent,7695,11017739580366,22.921,time6.txt,13319,2025-11-06,22,23,True,False,False
2025-11-06 22:23:59.312,eta_agent,7961,11017739573682,23.165,time6.txt,77826,2025-11-06,22,23,True,False,False
2025-11-06 22:23:59.578,eta_agent,7767,11017739580367,23.183,time6.txt,33277,2025-11-06,22,23,True,False,False
2025-11-06 22:23:59.852,eta_agent,7691,11017739573684,23.189,time6.txt,4265,2025-11-06,22,23,True,False,False
2025-11-06 22:24:00.938,eta_agent,7768,11017739585967,20.919,time6.txt,35534,2025-11-06,22,24,True,False,False
2025-11-06 22:24:00.947,eta_agent,7761,11017739576743,75.403,time6.txt,19977,2025-11-06,22,24,True,True,True
2025-11-06 22:24:03.566,eta_agent,8035,11017739573705,23.162,time6.txt,101886,2025-11-06,22,24,True,False,False
2025-11-06 22:24:04.884,eta_agent,7788,11017739573719,22.243,time6.txt,51058,2025-11-06,22,24,True,False,False
2025-11-06 22:24:07.728,eta_agent,7980,11017739576984,23.127,time6.txt,90909,2025-11-06,22,24,True,False,False
2025-11-06 22:24:07.967,eta_agent,8093,11017739586003,22.908,time6.txt,114862,2025-11-06,22,24,True,False,False
2025-11-06 22:24:08.457,eta_agent,7772,11017739586005,23.189,time6.txt,44443,2025-11-06,22,24,True,False,False
2025-11-06 22:24:09.656,eta_agent,7962,11017739580400,23.139,time6.txt,80076,2025-11-06,22,24,True,False,False
2025-11-06 22:24:10.107,eta_agent,8025,11017739573737,23.261,time6.txt,99740,2025-11-06,22,24,True,False,False
2025-11-06 22:24:10.468,eta_agent,7770,11017739573745,23.133,time6.txt,40038,2025-11-06,22,24,True,False,False
2025-11-06 22:24:10.723,eta_agent,7853,11017739576994,23.171,time6.txt,66722,2025-11-06,22,24,True,False,False
2025-11-06 22:24:10.854,eta_agent,8036,11017739586015,23.139,time6.txt,103951,2025-11-06,22,24,True,False,False
2025-11-06 22:24:10.864,eta_agent,8079,11017739586013,23.149,time6.txt,106167,2025-11-06,22,24,True,False,False
2025-11-06 22:24:11.562,eta_agent,8132,11017739586018,23.392,time6.txt,128063,2025-11-06,22,24,True,False,False
2025-11-06 22:24:11.614,eta_agent,7764,11017739586024,23.162,time6.txt,26542,2025-11-06,22,24,True,False,False
2025-11-06 22:24:11.636,eta_agent,7771,11017739576965,32.851,time6.txt,42247,2025-11-06,22,24,True,True,False
2025-11-06 22:24:12.593,eta_agent,7843,11017739577005,23.162,time6.txt,55471,2025-11-06,22,24,True,False,False
2025-11-06 22:24:12.700,eta_agent,8110,11017739580407,23.139,time6.txt,125843,2025-11-06,22,24,True,False,False
2025-11-06 22:24:13.421,eta_agent,8023,11017739573753,23.165,time6.txt,95393,2025-11-06,22,24,True,False,False
2025-11-06 22:24:18.234,eta_agent,7977,11017739580424,23.288,time6.txt,88708,2025-11-06,22,24,True,False,False
2025-11-06 22:24:18.388,eta_agent,7793,11017739576937,46.384,time6.txt,53237,2025-11-06,22,24,True,True,False
2025-11-06 22:24:18.530,eta_agent,7763,11017739573778,23.668,time6.txt,24495,2025-11-06,22,24,True,False,False
2025-11-06 22:24:18.715,eta_agent,8216,11017739573786,23.157,time6.txt,132455,2025-11-06,22,24,True,False,False
2025-11-06 22:24:18.994,eta_agent,8087,11017739577027,22.885,time6.txt,110416,2025-11-06,22,24,True,False,False
2025-11-06 22:24:19.345,eta_agent,7861,11017739577030,22.422,time6.txt,71276,2025-11-06,22,24,True,False,False
2025-11-06 22:24:19.748,eta_agent,8144,11017739573715,37.521,time6.txt,130263,2025-11-06,22,24,True,True,False
2025-11-06 22:24:20.286,eta_agent,7976,11017739577035,22.15,time6.txt,86674,2025-11-06,22,24,True,False,False
2025-11-06 22:24:21.188,eta_agent,7769,11017739573799,22.147,time6.txt,37817,2025-11-06,22,24,True,False,False
2025-11-06 22:24:21.969,eta_agent,8109,11017739576806,81.274,time6.txt,123647,2025-11-06,22,24,True,True,True
2025-11-06 22:24:24.849,eta_agent,8099,11017739580443,23.175,time6.txt,121463,2025-11-06,22,24,True,False,False
2025-11-06 22:24:25.158,eta_agent,8084,11017739577052,23.149,time6.txt,108287,2025-11-06,22,24,True,False,False
2025-11-06 22:24:25.534,eta_agent,7760,11017739573819,23.137,time6.txt,17748,2025-11-06,22,24,True,False,False
2025-11-06 22:24:25.882,eta_agent,8024,11017739573823,23.152,time6.txt,97551,2025-11-06,22,24,True,False,False
2025-11-06 22:24:27.613,eta_agent,7693,11017739576929,58.476,time6.txt,8841,2025-11-06,22,24,True,True,False
2025-11-06 22:24:27.723,eta_agent,7773,11017739586138,23.242,time6.txt,46576,2025-11-06,22,24,True,False,False
2025-11-06 22:24:28.295,eta_agent,7864,11017739577062,23.222,time6.txt,73399,2025-11-06,22,24,True,False,False
2025-11-06 22:24:28.972,eta_agent,7695,11017739573839,23.206,time6.txt,13320,2025-11-06,22,24,True,False,False
2025-11-06 22:24:29.206,eta_agent,7961,11017739586156,23.155,time6.txt,77827,2025-11-06,22,24,True,False,False
2025-11-06 22:24:29.320,eta_agent,7767,11017739580458,23.137,time6.txt,33278,2025-11-06,22,24,True,False,False
2025-11-06 22:24:29.847,eta_agent,7963,11017739585985,46.348,time6.txt,82382,2025-11-06,22,24,True,True,False
